Algoritmo,Tempo de Treino (s),Uso Medio de Memoria (MB),Pico de RAM (MB),Uso Medio de CPU (%),Pico de CPU (%)
Decision Tree,74.88901329040527,1361.0459055656934,1837.71875,33.63276912660799,100.0
Random Forest,205.95675706863403,860.106098718768,1137.3203125,95.45150176678445,100.0
Extra Trees,135.76283836364746,1313.0223127693966,1959.8125,98.9488,100.0
XGBoost,87.70945906639099,874.7297344549233,908.41015625,98.91965034965035,100.0
LightGBM,55.44075417518616,531.321637974052,553.27734375,99.06078639744952,100.0
