Metrica_Classe,precision,recall,f1-score,support
ATTACK,0.8117145042870059,0.9770364767539546,0.8867357030738069,334487.0
BENIGN,0.9937202558335562,0.9412931824940524,0.9667964920500015,1291264.0
accuracy,0.9486471175475211,0.9486471175475211,0.9486471175475211,0.9486471175475211
macro avg,0.902717380060281,0.9591648296240034,0.9267660975619042,1625751.0
weighted avg,0.9562738339537289,0.9486471175475211,0.9503245396278406,1625751.0
METRICAS_HARDWARE_E_ROC,Tempo Predicao: 12.1285s,Pico RAM: 257.44 MB,Uso Medio CPU: 94.9%,AUC ROC: 0.9938
