Algoritmo,Acuracia,Precisao,Recall,F1-Score,Tempo Predicao (s),Uso Medio de RAM (MB),Pico RAM Predicao (MB),Uso Medio de CPU (%),Pico de CPU (%)
decision tree,0.9541499082998166,0.9582221168997549,0.9541499082998166,0.95519504025327,0.11627793312072754,31.609375,56.40234375,29.883333333333333,50.0
logistic regression,0.42521485042970086,0.7848792632265257,0.42521485042970086,0.44173304131145597,0.026743650436401367,2.6790241745281946,11.4765625,17.85,35.7
naive bayes,0.24765849531699063,0.6795292663539463,0.24765849531699063,0.17188547417576314,0.2792661190032959,68.970703125,144.328125,51.21666666666667,87.5
random forest,0.9567819135638271,0.9608641080923377,0.9567819135638271,0.957785808761913,1.194148063659668,53.11886160714289,74.0,72.28,100.0
