Metrica_Classe,precision,recall,f1-score,support
ATTACK,0.9255101661524737,0.4840867113832993,0.6356812785621282,51435.0
BENIGN,0.8810556890307312,0.9899075361092645,0.9323151354171607,198564.0
accuracy,0.8858395433581734,0.8858395433581734,0.8858395433581734,0.8858395433581734
macro avg,0.9032829275916024,0.7369971237462819,0.7839982069896445,249999.0
weighted avg,0.8902017897381612,0.8858395433581734,0.871285441589031,249999.0
METRICAS_HARDWARE,Tempo Predicao: 0.0145s,Pico RAM: 5.73 MB,Uso Medio CPU: 27.8%,Pico CPU: 41.7%
