Metrica_Classe,precision,recall,f1-score,support
ATTACK,0.7440959120033299,0.9780469794042818,0.8451804583150334,334487.0
BENIGN,0.9938091118946326,0.9128690957077716,0.9516211195618566,1291264.0
accuracy,0.9262789935236084,0.9262789935236084,0.9262789935236084,0.9262789935236084
macro avg,0.8689525119489813,0.9454580375560266,0.898400788938445,1625751.0
weighted avg,0.9424323518052695,0.9262789935236084,0.9297216912616642,1625751.0
METRICAS_HARDWARE_E_ROC,Tempo Predicao: 1.1624s,Pico RAM: 177.05 MB,Uso Medio CPU: 90.7%,AUC ROC: 0.9798
