Metrica_Classe,precision,recall,f1-score,support
ATTACK,0.02247191011235955,5.9793592518625705e-06,1.1955537356570913e-05,334484.0
BENIGN,0.7942483632791378,0.9999326241574148,0.8853007090005461,1291264.0
accuracy,0.7942061131245433,0.7942061131245433,0.7942061131245433,0.7942061131245433
macro avg,0.40836013669574867,0.4999693017583333,0.44265633226895135,1625748.0
weighted avg,0.6354618384542347,0.7942061131245433,0.7031599815240974,1625748.0
METRICAS_HARDWARE,Tempo Predicao: 0.1093s,Pico RAM: 26.17 MB,Uso Medio CPU: 36.3%,Pico CPU: 82.4%
