Metrica_Classe,precision,recall,f1-score,support
ATTACK,0.8670324767537393,0.9528292579382757,0.9079084368719492,334487.0
BENIGN,0.9874595144516022,0.9621479418616178,0.9746394192581946,1291264.0
accuracy,0.9602306872331617,0.9602306872331617,0.9602306872331617,0.9602306872331617
macro avg,0.9272459956026707,0.9574885998999467,0.9412739280650719,1625751.0
weighted avg,0.9626824861376444,0.9602306872331617,0.960909982151634,1625751.0
METRICAS_HARDWARE_E_ROC,Tempo Predicao: 1.8913s,Pico RAM: 19.42 MB,Uso Medio CPU: 87.7%,AUC ROC: 0.9913
