Metrica_Classe,precision,recall,f1-score,support
ATTACK,0.9011284994200843,0.9802234466511404,0.9390133360445518,334487.0
BENIGN,0.9947579255173725,0.9721404763084853,0.9833191614029467,1291264.0
accuracy,0.9738034914325748,0.9738034914325748,0.9738034914325748,0.9738034914325748
macro avg,0.9479432124687284,0.9761819614798128,0.9611662487237493,1625751.0
weighted avg,0.9754943200531879,0.9738034914325748,0.9742035449237605,1625751.0
METRICAS_HARDWARE_E_ROC,Tempo Predicao: 25.6568s,Pico RAM: 1233.65 MB,Uso Medio CPU: 97.2%,AUC ROC: 0.9899
