Metrica_Classe,precision,recall,f1-score,support
ATTACK,0.8140211135055512,0.892148274820845,0.8512959346833515,334487.0
BENIGN,0.9713499703373913,0.9472005724623315,0.9591232833743396,1291264.0
accuracy,0.9358739437958211,0.9358739437958211,0.9358739437958211,0.9358739437958211
macro avg,0.8926855419214712,0.9196744236415882,0.9052096090288455,1625751.0
weighted avg,0.9389806485069808,0.9358739437958211,0.9369385537437859,1625751.0
METRICAS_HARDWARE_E_ROC,Tempo Predicao: 3.9886s,Pico RAM: 42.75 MB,Uso Medio CPU: 81.7%,AUC ROC: 0.9815
