Metrica_Classe,precision,recall,f1-score,support
ATTACK,0.3151685047132031,0.19891124720521047,0.24389429896182224,51435.0
BENIGN,0.8105885435581074,0.8880411353518262,0.8475490325666124,198564.0
accuracy,0.7462589850359401,0.7462589850359401,0.7462589850359401,0.7462589850359401
macro avg,0.5628785241356553,0.5434761912785183,0.5457216657642173,249999.0
weighted avg,0.7086604170536508,0.7462589850359401,0.7233526108890761,249999.0
METRICAS_HARDWARE,Tempo Predicao: 0.1022s,Pico RAM: 54.86 MB,Uso Medio CPU: 22.1%,Pico CPU: 46.2%
