Algoritmo,Acuracia,Precisao,Recall,F1-Score,AUC-ROC,Tempo Predicao (s),Uso Medio de RAM (MB),Pico RAM Predicao (MB),Uso Medio de CPU (%),Pico de CPU (%)
Decision Tree,0.9262789935236084,0.9424323518052695,0.9262789935236084,0.9297216912616642,0.9798405679290378,1.162384033203125,111.73798076923072,177.046875,90.675,100.0
Random Forest,0.9486471175475211,0.9562738339537289,0.9486471175475211,0.9503245396278406,0.9937550471444143,12.12852692604065,188.23244382022472,257.44140625,94.88169014084507,100.0
Extra Trees,0.9738034914325748,0.9754943200531879,0.9738034914325748,0.9742035449237605,0.9899451371378901,25.656784057617188,904.5606597222222,1233.65234375,97.21829268292683,100.0
Xgboost,0.9602306872331617,0.9626824861376444,0.9602306872331617,0.960909982151634,0.991349583024216,1.8913192749023438,6.797104779411768,19.421875,87.71875,100.0
Lightgbm,0.9358739437958211,0.9389806485069808,0.9358739437958211,0.9369385537437859,0.9815416883781817,3.9886434078216553,9.097395833333337,42.74609375,81.66956521739131,100.0
