Metrica_Classe,precision,recall,f1-score,support
ATTACK,0.24910551414667945,0.8947399119268196,0.38971112828275345,102869.0
BENIGN,0.917035084627585,0.3013748646538917,0.45365900807932635,397130.0
accuracy,0.4234528469056938,0.4234528469056938,0.4234528469056938,0.4234528469056938
macro avg,0.5830702993871322,0.5980573882903556,0.4216850681810399,499999.0
weighted avg,0.7796163158184468,0.4234528469056938,0.4405024728726686,499999.0
METRICAS_HARDWARE,Tempo Predicao: 0.0250s,Pico RAM: 7.77 MB,Uso Medio CPU: 23.2%,Pico CPU: 36.4%
