Algoritmo,Acuracia,Precisao,Recall,F1-Score,AUC-ROC,Tempo Predicao (s),Uso Medio de RAM (MB),Pico RAM Predicao (MB),Uso Medio de CPU (%),Pico de CPU (%)
Decision Tree,0.9266068871512998,0.9546089694632741,0.9266068871512998,0.9348635530446577,0.977511870366364,0.7134342193603516,109.61024305555566,252.34765625,25.946153846153845,43.8
Random Forest,0.9307557364222834,0.9544605285436054,0.9307557364222834,0.937075154546718,0.9887429622749934,13.225853204727173,317.4059244791665,617.90625,90.63894736842106,100.0
Extra Trees,0.9730739989863153,0.9771296761810184,0.9730739989863153,0.9745038004731686,0.9867862829176262,26.095015048980713,1294.3568070023148,1944.8046875,93.48023952095808,100.0
Xgboost,0.9634286164187403,0.9674933705158146,0.9634286164187403,0.9646380968761507,0.9923688597751661,9.382782220840454,49.64541666666662,102.109375,92.432,100.0
Lightgbm,0.9549439274870952,0.9596983891476281,0.9549439274870952,0.9563684062635578,0.9903972329071852,21.207094430923462,50.125502558479525,105.0390625,95.45514018691588,100.0
