Algoritmo,Tempo de Treino (s),Uso Medio de Memoria (MB),Pico de RAM (MB),Uso Medio de CPU (%),Pico de CPU (%)
Decision Tree,96.17999696731567,2485.3361555025626,3446.50390625,40.04588859416446,100.0
Random Forest,241.02712655067444,870.9471745658896,1043.40234375,96.88944908180301,100.0
Extra Trees,159.76099514961243,1386.1331227436824,1902.45703125,99.53025967143614,100.0
XGBoost,14.283439874649048,572.1985222868218,682.43359375,90.35669291338583,100.0
LightGBM,11.105859756469727,277.35216346153857,319.8984375,95.9125,100.0
